epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26482.4,1.36238,0.85261,0.99483,0.68698,0.42275,0.46554,0.2647,1.27753,0.72621,0.94598,0.00411739,0.00411739,0.00411739
43,27106.4,1.36082,0.85332,0.99459,0.68782,0.42259,0.46602,0.26508,1.27667,0.7256,0.94559,0.00397391,0.00397391,0.00397391
44,27730.9,1.35858,0.84952,0.99387,0.68645,0.42454,0.4666,0.2656,1.27586,0.72502,0.94528,0.00383043,0.00383043,0.00383043
45,28355.7,1.35732,0.84726,0.99289,0.68759,0.42461,0.46727,0.2658,1.27545,0.72446,0.94494,0.00368696,0.00368696,0.00368696
46,28979.9,1.35327,0.84494,0.99167,0.68678,0.42568,0.4674,0.26609,1.27481,0.72386,0.94463,0.00354348,0.00354348,0.00354348
47,29603.7,1.35461,0.84402,0.99163,0.69138,0.42575,0.46815,0.26649,1.2743,0.72335,0.94425,0.0034,0.0034,0.0034
48,30227.4,1.35333,0.84327,0.99127,0.69445,0.42377,0.46852,0.26683,1.27375,0.72295,0.94389,0.00325652,0.00325652,0.00325652
49,30851.5,1.34981,0.83882,0.98974,0.69542,0.42401,0.46885,0.26705,1.27312,0.72247,0.94362,0.00311304,0.00311304,0.00311304
50,31475.3,1.34597,0.8379,0.98992,0.69399,0.42608,0.46954,0.26735,1.27268,0.72197,0.94344,0.00296957,0.00296957,0.00296957
51,32099,1.34569,0.83649,0.98848,0.69476,0.42531,0.46977,0.26762,1.27223,0.72149,0.94321,0.00282609,0.00282609,0.00282609
52,32724.8,1.34559,0.83405,0.98782,0.69788,0.424,0.47034,0.268,1.27176,0.72114,0.94291,0.00268261,0.00268261,0.00268261
53,33350.2,1.34337,0.83363,0.9874,0.69963,0.42381,0.47106,0.26824,1.2712,0.72078,0.94252,0.00253913,0.00253913,0.00253913
54,33975.4,1.34156,0.83183,0.98726,0.70065,0.42322,0.47153,0.26843,1.27085,0.72035,0.94231,0.00239565,0.00239565,0.00239565
55,34600.5,1.33935,0.82853,0.98599,0.69947,0.42499,0.47207,0.26892,1.27023,0.71999,0.94195,0.00225217,0.00225217,0.00225217
56,35224.7,1.33844,0.82672,0.98539,0.69696,0.42663,0.47207,0.26924,1.26958,0.71954,0.9415,0.0021087,0.0021087,0.0021087
57,35848.4,1.33785,0.82437,0.98441,0.69859,0.42638,0.4726,0.26925,1.26908,0.71927,0.94119,0.00196522,0.00196522,0.00196522
58,36471.8,1.33389,0.82179,0.98439,0.69778,0.42715,0.47311,0.26951,1.26859,0.71909,0.94093,0.00182174,0.00182174,0.00182174
59,37096.4,1.32974,0.81855,0.98267,0.69913,0.42712,0.47335,0.26973,1.26826,0.7188,0.94078,0.00167826,0.00167826,0.00167826
60,37669.5,1.31118,0.76435,0.96405,0.70226,0.42737,0.47416,0.27009,1.2674,0.71844,0.94046,0.00153478,0.00153478,0.00153478
61,38205.8,1.30385,0.7569,0.96205,0.70448,0.42698,0.47479,0.27045,1.26642,0.71806,0.94012,0.0013913,0.0013913,0.0013913
62,38743.4,1.30087,0.75288,0.96121,0.70527,0.42714,0.47541,0.27092,1.26566,0.7175,0.93981,0.00124783,0.00124783,0.00124783
63,39281.7,1.2969,0.74906,0.95988,0.70713,0.42684,0.47596,0.27123,1.26474,0.71705,0.93941,0.00110435,0.00110435,0.00110435
64,39818.6,1.29393,0.74508,0.95853,0.70404,0.42831,0.47637,0.27178,1.26395,0.71667,0.93893,0.00096087,0.00096087,0.00096087
65,40355.8,1.2906,0.74127,0.95705,0.70509,0.42896,0.47661,0.27192,1.26322,0.71621,0.93847,0.000817391,0.000817391,0.000817391
66,40895.8,1.28812,0.73783,0.95633,0.70368,0.42994,0.47734,0.27238,1.26276,0.71574,0.9382,0.000673913,0.000673913,0.000673913
67,41434.8,1.28488,0.73396,0.95514,0.704,0.42967,0.47787,0.27283,1.26223,0.71537,0.93786,0.000530435,0.000530435,0.000530435
68,41972.7,1.28233,0.73006,0.95477,0.70351,0.43074,0.47886,0.27336,1.2617,0.71478,0.93759,0.000386957,0.000386957,0.000386957
69,42510.4,1.27808,0.72607,0.9537,0.70471,0.43094,0.47951,0.2736,1.2612,0.71422,0.93737,0.000243478,0.000243478,0.000243478
